id,vendor_id,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration
id1079955,1,1,-73.994850160,40.718780520,-73.983413700,40.758850100,2607
id0256505,1,1,-73.994483950,40.745086670,-73.998992920,40.722709660,695
id1530524,1,1,-73.953422550,40.767658230,-73.980316160,40.737781520,472
id1674872,1,1,-73.951850890,40.714069370,-73.967971800,40.688720700,526
id1040444,2,4,-73.976951600,40.752021790,-74.001213070,40.751613620,721
id1674996,1,1,-74.001800540,40.726135250,-74.007156370,40.740806580,512
id1965939,1,1,-73.994094850,40.761550900,-73.980636600,40.789638520,720
id0442192,1,1,-74.006324770,40.733390810,-74.000007630,40.743255620,174
id0515898,2,1,-74.002571110,40.739311220,-73.991882320,40.744998930,478
id1182327,2,1,-73.948303220,40.774436950,-73.963706970,40.755485530,788
id3913101,1,2,-74.001411440,40.761432650,-73.924629210,40.864028930,1003
id1680350,1,1,-74.002983090,40.723312380,-74.001556400,40.728824620,215
id0913838,2,5,-73.978332520,40.754070280,-73.959732060,40.772758480,870
id3896508,2,1,-73.863380430,40.769889830,-73.837127690,40.721359250,814
id2846400,2,1,-73.997253420,40.717960360,-73.999252320,40.730018620,637
id1510700,2,1,-73.958396910,40.772628780,-73.955131530,40.774242400,57
id0813128,2,2,-73.991203310,40.749553680,-73.979194640,40.746307370,589
id1158195,1,1,-73.992324830,40.730720520,-73.872505190,40.774497990,2275
id0959273,1,1,-73.988838200,40.768901820,-73.955535890,40.771743770,647
id0739660,1,3,-73.964721680,40.806606290,-73.984573360,40.760677340,1628
id3769871,1,1,-73.943145750,40.789630890,-73.989479060,40.762763980,2337
id1818021,1,1,-74.011169430,40.703605650,-74.005691530,40.741359710,674
id0982165,2,1,-73.980316160,40.758850100,-74.010139470,40.705081940,1190
id1519515,2,1,-73.950492860,40.771266940,-74.001243590,40.746490480,1191
id1082443,2,1,-73.987121580,40.768474580,-73.975822450,40.759712220,785
id2934884,2,1,-73.986389160,40.756614690,-73.999794010,40.761631010,520
id1205949,1,1,-73.962608340,40.758827210,-73.954193120,40.764053340,218
id2592310,2,1,-73.990417480,40.756881710,-73.981979370,40.759990690,222
id0883711,1,1,-73.993637080,40.734218600,-73.961463930,40.769298550,1204
id0283075,1,1,-73.782478330,40.644645690,-73.981124880,40.720886230,1782
id2107497,1,2,-74.013954160,40.712833400,-73.997550960,40.718074800,1174
id2090852,2,1,-73.968826290,40.754196170,-73.972755430,40.746612550,336
id1297351,2,1,-74.003288270,40.726970670,-73.993301390,40.739120480,470
id0667605,2,1,-73.991058350,40.739570620,-74.006103520,40.734550480,346
id1476107,1,1,-73.966880800,40.788681030,-73.962821960,40.775726320,419
id0673727,2,1,-73.961677550,40.775966640,-73.857391360,40.733284000,1762
id2030290,1,3,-73.864318850,40.769828800,-73.985862730,40.760952000,2341
id3770790,1,1,-73.992233280,40.744281770,-74.008232120,40.748825070,406
id3025098,2,1,-73.976982120,40.750301360,-73.999122620,40.739509580,596
id3333094,2,1,-73.973464970,40.755229950,-73.977363590,40.742820740,435
id2228940,1,1,-73.981864930,40.758773800,-73.970222470,40.784141540,1108
id2102594,1,1,-73.789840700,40.643558500,-73.970664980,40.687278750,2824
id0010677,1,2,-73.991973880,40.749996190,-73.977882390,40.754894260,769
id3194108,1,1,-74.005027770,40.746452330,-73.972007750,40.745780940,1826
id2063827,1,1,-73.981414790,40.756732940,-73.970565800,40.755695340,593
id0105610,1,3,-73.789718630,40.643707280,-73.978698730,40.750343320,2065
id3502065,1,1,-73.974014280,40.757152560,-73.949737550,40.777091980,653
id3508035,2,6,-73.788131710,40.641460420,-73.971771240,40.749408720,1884
id3236276,2,1,-73.956039430,40.767608640,-73.968200680,40.786689760,989
id3277902,1,1,-73.973167420,40.755699160,-73.988655090,40.736995700,419
id2335059,1,4,-73.975807190,40.760627750,-73.987785340,40.754920960,962
id2300865,1,1,-73.965881350,40.762840270,-73.960990910,40.770874020,243
id3962434,2,2,-73.989273070,40.756488800,-74.002799990,40.760501860,373
id2677672,1,2,-73.945755000,40.773681640,-73.953430180,40.781078340,384
id0589360,1,1,-73.863677980,40.769771580,-74.007217410,40.704895020,2753
id0970832,1,1,-74.008247380,40.747352600,-73.979446410,40.718750000,1561
id0694434,1,1,-74.006797790,40.706073760,-73.974021910,40.744075780,505
id3729136,2,2,-73.977272030,40.757350920,-74.002433780,40.734401700,900
id2358953,2,1,-73.870819090,40.773738860,-73.857498170,41.017810820,2116
id0935429,1,1,-73.999092100,40.745491030,-73.978561400,40.762325290,611
id3056417,2,1,-73.984359740,40.742710110,-73.987747190,40.751888280,972
id1152886,2,1,-73.961677550,40.771179200,-73.952110290,40.784358980,604
id1796723,1,1,-73.993858340,40.735797880,-73.994621280,40.750461580,594
id0045014,1,1,-73.950126650,40.780086520,-73.962829590,40.762683870,574
id2648478,1,1,-73.951576230,40.766468050,-73.960212710,40.760540010,297
id0702030,1,1,-73.999298100,40.749534610,-74.005363460,40.743518830,101
id3024438,2,1,-73.953720090,40.775295260,-73.991195680,40.726318360,1041
id2146569,2,1,-73.976799010,40.749950410,-73.981567380,40.745769500,212
id2307151,1,1,-73.961952210,40.800445560,-73.978416440,40.782791140,422
id2049424,2,1,-73.963890080,40.773651120,-74.005111690,40.751491550,1356
id2209089,1,1,-74.006912230,40.730361940,-74.005943300,40.727069850,416
id0391524,1,1,-73.978645320,40.748035430,-73.970130920,40.762737270,1118
id2681033,1,1,-73.976829530,40.788211820,-73.983749390,40.762531280,874
id2040275,1,1,-73.936943050,40.798233030,-73.946380620,40.780883790,321
id0073842,2,1,-73.990051270,40.738010410,-73.990936280,40.725215910,400
id3942339,1,1,-73.978828430,40.752803800,-73.991035460,40.750419620,934
id2991616,2,3,-73.983566280,40.755561830,-73.982368470,40.766960140,773
id1047459,2,3,-73.988410950,40.758960720,-73.991897580,40.770690920,337
id1737558,1,1,-73.960235600,40.762229920,-73.950592040,40.775314330,234
id2135557,2,5,-73.970283510,40.764831540,-73.957572940,40.782478330,474
id0659170,2,1,-73.968658450,40.764507290,-73.872833250,40.771453860,1314
id1125774,1,2,-73.994537350,40.740234380,-73.976188660,40.762592320,482
id1886740,1,1,-73.985115050,40.768726350,-73.951667790,40.774433140,566
id1982306,2,2,-73.984939580,40.751857760,-73.983543400,40.744335170,189
id2684106,2,2,-74.001007080,40.731781010,-73.987152100,40.771003720,913
id0038484,2,2,-73.972854610,40.764400480,-73.971809390,40.757888790,736
id1734208,2,6,-73.997077940,40.720638280,-73.999633790,40.745838170,714
id0561467,1,1,-73.972549440,40.794017790,-73.954055790,40.766300200,815
id3092788,2,2,-73.984771730,40.710571290,-73.989410400,40.730148320,972
id1741519,2,1,-73.984786990,40.743015290,-73.993606570,40.735286710,318
id1330402,2,1,-73.991821290,40.750076290,-73.971054080,40.756698610,625
id2505596,2,1,-73.984985350,40.748580930,-73.981277470,40.769115450,859
id1630509,2,2,-73.993667600,40.741878510,-73.984588620,40.754299160,141
id0512853,1,1,-73.969566350,40.769165040,-73.986526490,40.730335240,983
id3089912,2,2,-73.989959720,40.741081240,-73.976966860,40.747451780,565
id1137965,1,1,-73.989135740,40.775020600,-73.981819150,40.766059880,351
id3677225,2,1,-73.967880250,40.759811400,-73.953826900,40.778881070,342
id0401226,1,4,-74.006706240,40.705554960,-73.991691590,40.749721530,909
id2452605,2,1,-73.996269230,40.749851230,-73.994766240,40.736480710,227
id3618302,2,6,-73.987319950,40.750640870,-73.989288330,40.769405360,1078
id1552358,2,1,-73.975433350,40.752132420,-73.990783690,40.750942230,900
id1168234,1,1,-74.000205990,40.737846370,-74.000312810,40.722866060,631
id2910320,2,1,-73.955459590,40.767307280,-73.988998410,40.693168640,1385
id3331830,1,1,-73.964866640,40.755790710,-73.975807190,40.757354740,869
id0195963,2,1,-73.999160770,40.744369510,-73.988708500,40.758701320,574
id0762989,2,1,-73.977615360,40.763572690,-73.972572330,40.765956880,104
id2671060,2,1,-73.953117370,40.771800990,-73.947921750,40.783149720,418
id3620795,1,1,-74.001609800,40.740810390,-73.996223450,40.725902560,383
id2282206,1,2,-73.962181090,40.810726170,-73.994834900,40.752811430,1117
id0591292,1,1,-73.986968990,40.742851260,-73.994285580,40.761356350,1447
id0906779,1,2,-73.971557620,40.750629430,-73.952629090,40.631595610,2543
id2326430,2,1,-73.956878660,40.774871830,-73.936508180,40.857185360,981
id3863815,2,3,-73.944358830,40.714488980,-73.910530090,40.709491730,755
id3048297,2,1,-73.972793580,40.755596160,-73.873123170,40.774456020,1257
id3649509,1,2,-74.005546570,40.709262850,-73.970146180,40.762741090,1221
id1783063,2,2,-73.984649660,40.745979310,-73.977378850,40.759651180,940
id3363012,2,1,-73.961967470,40.770080570,-73.960777280,40.775051120,126
id0514638,1,1,-73.969421390,40.800033570,-73.968177800,40.791702270,350
id0627115,2,1,-73.982627870,40.762111660,-73.993370060,40.747489930,737
id3141299,2,3,-73.995773320,40.742568970,-74.008094790,40.722770690,690
id2003497,1,2,-74.000076290,40.748298650,-73.989883420,40.737964630,671
id3748197,1,1,-73.999168400,40.734233860,-73.982093810,40.740276340,463
id2983261,1,1,-74.014251710,40.713912960,-74.004623410,40.705383300,367
id0485870,2,1,-73.990898130,40.750663760,-73.993217470,40.734199520,369
id0835694,1,1,-73.975105290,40.755691530,-73.985595700,40.747474670,402
id3426410,2,5,-73.967437740,40.759349820,-74.012687680,40.701610570,1093
id3673678,2,1,-73.975997920,40.751136780,-74.001853940,40.735229490,657
id2460349,1,2,-73.978950500,40.750930790,-73.964393620,40.754962920,530
id3198639,1,1,-73.979789730,40.781265260,-73.940879820,40.823223110,733
id1872601,2,2,-73.986862180,40.750961300,-74.005378720,40.740028380,699
id0125957,1,2,-73.967018130,40.753005980,-73.951629640,40.769359590,294
id3526986,2,1,-73.970382690,40.764991760,-73.949668880,40.768459320,661
id3170873,1,1,-74.002433780,40.717166900,-73.985969540,40.726749420,652
id1674373,2,5,-74.007499690,40.740951540,-74.016647340,40.704910280,586
id2973697,2,2,-73.995384220,40.749298100,-73.989326480,40.718147280,1057
id1592044,1,1,-73.986679080,40.725849150,-73.997467040,40.735153200,580
id3899813,2,5,-73.980026250,40.765968320,-73.991203310,40.750350950,1151
id2075052,1,1,-73.954498290,40.766807560,-73.987785340,40.720878600,660
id3707411,1,1,-74.007728580,40.740608220,-73.983512880,40.737209320,803
id1608545,1,1,-74.006797790,40.731071470,-73.974960330,40.758468630,1954
id3517425,2,6,-73.980926510,40.755241390,-74.004554750,40.729652400,1030
id3942917,1,4,-73.862777710,40.769313810,-73.986129760,40.748580930,2817
id2000923,2,5,-73.987869260,40.765098570,-73.993606570,40.758949280,85
id3564028,1,1,-73.954132080,40.774784090,-73.947418210,40.779632570,194
id1233453,1,1,-73.972099300,40.782207490,-73.964515690,40.777549740,116
id1372674,2,1,-73.978210450,40.777160640,-73.957626340,40.774547580,806
id2806146,2,1,-73.983573910,40.738418580,-74.005485530,40.739559170,599
id1832737,2,1,-73.984710690,40.760181430,-73.979560850,40.752704620,364
id1489766,2,1,-73.989891050,40.747158050,-73.974945070,40.741745000,433
id3308765,2,4,-73.863471980,40.769817350,-73.871536250,40.763103490,598
id1935437,2,1,-73.975860600,40.757240300,-74.177597050,40.690948490,1665
id2059551,2,1,-73.956657410,40.780769350,-73.969642640,40.800102230,838
id2433939,1,3,-73.873008730,40.774120330,-73.976074220,40.749912260,1699
id2677357,2,2,-73.971633910,40.781963350,-73.981689450,40.778995510,331
id2336715,2,2,-73.984359740,40.748985290,-73.996284480,40.716056820,622
id3525276,1,1,-73.970970150,40.764125820,-73.962280270,40.776180270,343
id3729126,1,1,-73.866912840,40.771877290,-73.794692990,40.734790800,998
id1073968,1,1,-73.955215450,40.780246730,-73.861831670,40.768455510,1365
id0562336,2,2,-73.952743530,40.772258760,-73.977767940,40.739112850,592
id1163958,1,1,-73.972579960,40.748905180,-73.961563110,40.760517120,313
id1681877,1,1,-73.955261230,40.780242920,-73.969871520,40.789764400,890
id0945119,2,6,-74.002838130,40.760360720,-73.988410950,40.778980260,558
id2939783,1,1,-73.990066530,40.751934050,-73.989753720,40.723869320,1389
id2050990,2,1,-73.990081790,40.756736760,-73.955131530,40.677524570,2556
id3780362,2,2,-73.949523930,40.776611330,-73.942672730,40.785968780,135
id2233338,2,2,-73.995140080,40.750000000,-73.993698120,40.735500340,533
id1445390,2,3,-73.960121150,40.781951900,-73.971969600,40.755039220,1035
id0345679,2,1,-73.997520450,40.721241000,-73.988006590,40.720821380,574
id0570525,1,1,-73.998374940,40.725925450,-73.990310670,40.731128690,304
id0872662,2,3,-73.978309630,40.737159730,-73.973213200,40.743949890,138
id3114338,2,1,-73.965110780,40.775089260,-73.952369690,40.766460420,559
id2718231,1,1,-73.992500310,40.740444180,-73.840110780,40.719516750,1216
id0618376,2,1,-74.006118770,40.717918400,-74.013504030,40.715682980,212
id1697059,1,1,-73.958106990,40.742168430,-73.931709290,40.768066410,788
id1868620,2,1,-73.781860350,40.644683840,-73.961921690,40.767032620,1746
id0000569,1,3,-73.961975100,40.767734530,-73.958587650,40.773010250,123
id0952827,2,1,-73.998062130,40.674808500,-74.004440310,40.732650760,853
id0464363,2,1,-73.951087950,40.711063390,-73.938926700,40.707386020,268
id0608846,2,1,-73.980102540,40.753704070,-73.993316650,40.741611480,704
id3567125,1,1,-73.981559750,40.766326900,-73.911590580,40.763885500,2678
id3996183,1,1,-73.990310670,40.718864440,-73.995544430,40.736873630,715
id1474156,1,2,-73.970466610,40.799175260,-74.017211910,40.705192570,1081
id0695483,1,3,-74.002388000,40.749553680,-73.977783200,40.754081730,798
id3609971,1,1,-73.990905760,40.756271360,-73.976814270,40.759689330,1348
id3956459,2,1,-73.986907960,40.761608120,-74.008407590,40.711620330,1327
id0088231,2,3,-74.008171080,40.745002750,-73.955093380,40.804836270,1030
id1957034,1,1,-73.994880680,40.750213620,-73.962219240,40.711620330,2456
id1838067,2,1,-73.963180540,40.774230960,-73.955551150,40.778690340,326
id3342568,1,1,-73.984848020,40.724334720,-73.884117130,40.716716770,2159
id3487442,2,1,-73.981819150,40.768962860,-73.981819150,40.768962860,227
id1401963,1,1,-73.976028440,40.776126860,-73.948387150,40.778156280,1535
id1597742,2,5,-73.983795170,40.750705720,-73.977355960,40.766120910,490
id3271420,2,4,-73.973464970,40.760879520,-73.966133120,40.761203770,398
id0850673,2,1,-73.981330870,40.747268680,-74.005493160,40.739021300,1034
id0171820,2,1,-74.004524230,40.724193570,-74.004493710,40.724666600,189
id0514543,2,1,-73.982536320,40.775661470,-73.969451900,40.802089690,1119
id1991106,1,1,-73.967788700,40.762699130,-73.981475830,40.742191310,487
id2142187,1,1,-73.987068180,40.756633760,-73.960304260,40.780773160,711
id0526379,1,1,-73.986099240,40.719486240,-73.945961000,40.711437230,654
id2548131,1,2,-74.007781980,40.740943910,-73.971176150,40.800800320,947
id2452855,2,1,-73.985069270,40.732204440,-73.910491940,40.696815490,1445
id0315726,2,1,-73.983436580,40.731681820,-73.948005680,40.714160920,1276
id2527828,2,1,-73.991157530,40.745780940,-73.983390810,40.771461490,1748
id1630336,1,1,-73.982040410,40.759677890,-73.947052000,40.773159030,750
id2353964,2,1,-73.961204530,40.760559080,-73.947135930,40.775932310,300
id2393811,1,1,-73.970581050,40.799045560,-73.989814760,40.767246250,963
id1774339,1,1,-73.949783330,40.780567170,-73.960067750,40.770408630,313
id1610798,2,1,-73.987434390,40.760139470,-73.990982060,40.744861600,621
id2452120,1,2,-73.974456790,40.756927490,-73.960906980,40.780143740,921
id2693088,2,2,-73.975418090,40.787075040,-73.942657470,40.823551180,892
id0828675,1,1,-73.994041440,40.751136780,-73.982635500,40.760688780,318
id1636593,2,1,-73.790153500,40.646614070,-73.981918330,40.756679530,2759
id0747713,2,1,-74.006690980,40.737640380,-74.003883360,40.738090520,156
id3655477,2,1,-73.988029480,40.737819670,-73.972068790,40.746078490,791
id0642318,2,1,-73.952522280,40.766269680,-73.983428960,40.734378810,962
id2390585,1,1,-73.863784790,40.769744870,-73.946258540,40.780414580,1378
id0369319,2,1,-73.986930850,40.750930790,-73.978309630,40.753261570,220
id0720321,1,1,-73.962638850,40.768226620,-73.953559880,40.772823330,448
id0860600,1,1,-74.000122070,40.717849730,-74.014579770,40.709674840,878
id1977372,2,1,-73.869682310,40.772548680,-73.913406370,40.680778500,1610
id2437858,2,5,-73.986831670,40.761829380,-73.977836610,40.792121890,604
id2165807,1,2,-74.003929140,40.725795750,-73.998878480,40.734764100,191
id1638921,1,1,-73.979713440,40.760562900,-73.993385310,40.736629490,1073
id0631726,2,1,-73.961517330,40.766021730,-73.949722290,40.781929020,278
id1947466,2,6,-73.981277470,40.780361180,-73.976150510,40.788600920,289
id1723822,1,3,-73.956062320,40.764152530,-73.943443300,40.791183470,632
id1144791,2,1,-73.991989140,40.743793490,-73.974700930,40.763401030,613
id1497423,1,1,-73.988723750,40.736976620,-73.982727050,40.750343320,805
id2917044,1,1,-74.017303470,40.705360410,-73.973930360,40.761566160,1217
id2538816,1,1,-74.003982540,40.748470310,-73.995056150,40.742942810,285
id2808378,1,1,-73.978645320,40.740932460,-74.012695310,40.701587680,1047
id2015130,2,1,-73.884040830,40.747608180,-73.904617310,40.747699740,404
id1062725,1,1,-73.990364070,40.756240840,-73.972953800,40.757289890,356
id3792892,1,1,-73.986663820,40.721683500,-73.972572330,40.685878750,1312
id0924324,2,2,-73.959068300,40.775661470,-73.959068300,40.775661470,1109
id1295254,1,1,-73.975982670,40.757747650,-73.982162480,40.740749360,422
id0222570,2,1,-73.947692870,40.783298490,-73.961044310,40.756652830,926
id3680395,1,1,-73.954788210,40.777965550,-73.947769170,40.779579160,115
id0552144,2,1,-73.885231020,40.772941590,-73.946952820,40.775260930,2040
id2034899,2,1,-73.989982600,40.751598360,-73.994430540,40.741001130,339
id1283389,1,1,-74.004371640,40.742347720,-74.010726930,40.723617550,865
id2040373,2,3,-73.961082460,40.769119260,-73.956947330,40.783420560,466
id2124906,2,1,-73.980278020,40.770191190,-73.963783260,40.774131770,428
id1660823,2,5,-73.982139590,40.775325780,-74.009849550,40.721698760,1279
id0989891,1,2,-73.989379880,40.719825740,-73.982604980,40.757503510,676
id2679117,1,1,-73.919982910,40.743572240,-73.926773070,40.755275730,292
id2145001,2,1,-73.945297240,40.774349210,-73.955436710,40.778598790,395
id3427182,1,1,-73.971923830,40.791904450,-73.969543460,40.765300750,1005
id2346299,2,1,-73.978660580,40.756301880,-73.988128660,40.737350460,705
id0105984,1,1,-73.985839840,40.726902010,-74.014274600,40.704067230,788
id1587327,1,3,-74.007720950,40.743003850,-73.989379880,40.747844700,320
id2519393,1,1,-73.994583130,40.702999110,-74.004127500,40.712928770,566
id1009714,1,1,-73.979354860,40.756191250,-73.979125980,40.742980960,515
id1027675,2,1,-73.969535830,40.755218510,-73.976524350,40.747947690,1197
id0802391,1,1,-73.997207640,40.724071500,-74.000617980,40.732154850,449
id2597894,1,1,-73.990409850,40.718795780,-73.986907960,40.750888820,1457
id1949220,1,1,-73.987144470,40.729499820,-73.960708620,40.797470090,1151
id3389249,2,1,-73.962188720,40.759132390,-73.962631230,40.773174290,603
id3245042,2,1,-73.985496520,40.747451780,-73.979072570,40.728038790,724
id1285469,2,1,-74.016479490,40.715408330,-74.012756350,40.706611630,1198
id3482709,2,1,-73.955192570,40.779991150,-73.957801820,40.776508330,72
id0496379,1,1,-73.961166380,40.777832030,-73.966041560,40.763866420,822
id1703171,2,5,-73.786216740,40.645286560,-73.993072510,40.729728700,2453
id2268459,1,1,-73.985359190,40.738410950,-73.870422360,40.773681640,1356
id3013319,2,1,-73.981399540,40.778793330,-73.976524350,40.782497410,93
id1265097,2,1,-73.989021300,40.718910220,-73.996482850,40.721179960,155
id2954399,1,1,-74.001029970,40.756652830,-74.000999450,40.756626130,40
id3152963,1,2,-73.955116270,40.769001010,-73.971542360,40.785369870,461
id1904421,2,2,-73.983985900,40.737873080,-74.004669190,40.708389280,741
id3611647,1,1,-73.995727540,40.754081730,-73.983932500,40.746543880,1092
id0910982,1,1,-73.952377320,40.810768130,-73.976066590,40.781143190,709
id2640178,1,1,-73.953979490,40.763858800,-73.996437070,40.715511320,1143
id0030324,1,1,-73.939826970,40.699562070,-73.931999210,40.689132690,256
id3883723,2,2,-73.979087830,40.759498600,-73.979560850,40.724334720,660
id0674885,1,1,-73.965751650,40.759574890,-73.979118350,40.765102390,357
id3260324,2,1,-73.932807920,40.758930210,-73.983207700,40.767009740,836
id1561466,2,1,-73.965728760,40.768730160,-73.955879210,40.673080440,2120
id2106816,1,1,-73.980880740,40.784336090,-73.956672670,40.780616760,570
id2605569,1,2,-73.926284790,40.703285220,-73.938018800,40.700408940,293
id3293082,2,5,-73.976486210,40.754989620,-73.991157530,40.751281740,806
id0790613,1,1,-73.986305240,40.777023320,-73.985855100,40.776790620,1778
id0202431,1,1,-74.004135130,40.742809300,-73.987792970,40.744865420,975
id2084457,2,3,-73.982536320,40.775081630,-73.971763610,40.784595490,464
id2595331,2,1,-73.954696660,40.773979190,-73.968452450,40.761508940,621
id3448735,1,1,-73.991500850,40.744892120,-73.983276370,40.760482790,333
id1431322,1,2,-74.009704590,40.739654540,-73.999595640,40.728836060,769
id0130751,1,1,-73.988197330,40.764289860,-73.872810360,40.774456020,2554
id1444884,2,1,-73.996566770,40.731975560,-73.979011540,40.749900820,952
id2797773,1,1,-73.967132570,40.793464660,-73.970390320,40.795749660,180
id0861216,2,1,-73.990249630,40.757286070,-73.963981630,40.756919860,620
id3833049,1,1,-73.994537350,40.766025540,-73.986381530,40.749061580,862
id1633648,1,1,-73.977905270,40.754871370,-73.952774050,40.768165590,918
id3252664,2,1,-73.967514040,40.766155240,-73.960525510,40.771442410,300
id3755869,2,3,-73.952941890,40.810188290,-73.945510860,40.778118130,993
id2440671,2,1,-73.863655090,40.769622800,-73.913223270,40.872798920,1968
id1489555,1,2,-73.944358830,40.808307650,-74.012313840,40.703845980,2113
id0162579,2,1,-73.992202760,40.744968410,-73.981391910,40.746990200,396
id1713541,1,1,-73.968078610,40.759376530,-73.984863280,40.768650050,606
id2732066,2,2,-74.004478450,40.722690580,-73.871070860,40.774250030,1466
id2445763,1,1,-73.983284000,40.773742680,-73.987380980,40.780372620,392
id3972131,2,3,-73.982872010,40.744987490,-73.989288330,40.744674680,226
id3779357,2,1,-73.966796880,40.767009740,-73.981788640,40.752288820,645
id0931190,1,1,-73.982749940,40.754154210,-74.015388490,40.711246490,1315
id1789034,1,1,-73.982559200,40.742351530,-73.992500310,40.725265500,619
id0746372,2,1,-73.954597470,40.769618990,-73.949592590,40.777069090,175
id2567660,2,1,-73.995544430,40.744010930,-73.983245850,40.763671880,906
id1787258,1,2,-73.954475400,40.783695220,-73.963516240,40.770065310,342
id0805117,2,3,-74.008659360,40.719608310,-73.998939510,40.727920530,673
id2828691,2,2,-74.001251220,40.736324310,-74.008697510,40.706966400,645
id2729614,2,1,-73.988388060,40.720024110,-73.992530820,40.659038540,1484
id1249988,2,1,-73.975540160,40.735630040,-73.962936400,40.712009430,1275
id2463869,2,1,-73.980384830,40.765644070,-73.991317750,40.774452210,589
id2904820,1,1,-73.782424930,40.644287110,-73.856582640,40.725502010,1342
id0180594,2,1,-74.000671390,40.758258820,-73.994613650,40.750530240,527
id0749370,1,1,-73.961944580,40.764541630,-73.968452450,40.763080600,314
id2848070,2,3,-74.001037600,40.741519930,-73.980323790,40.760448460,503
